trial,sigma,gap,method,n_missing,rmse,mae,bias
27,0.05,4,linear,12,0.02632554408955758,0.02321007942716947,0.01358489486566107
28,0.05,4,locf,12,0.41054975731837223,0.24813589416193946,-0.2382413996733659
28,0.05,4,nearest,12,0.23491065421244178,0.16237563395475685,0.009197838458917093
28,0.05,4,linear,12,0.10067086343585321,0.08530930048984924,0.009197838458917085
29,0.05,4,locf,12,0.32674104092648515,0.26993548717524085,-0.036028540527757565
29,0.05,4,nearest,12,0.19482697832337803,0.14307921270580956,-0.0509784374342114
29,0.05,4,linear,12,0.1234094941617852,0.11963780298937589,-0.050978437434211356
30,0.05,4,locf,12,0.2059719417040119,0.13762473668680042,0.08240229655288346
30,0.05,4,nearest,12,0.13495170048552968,0.10016919004472863,0.03737960223640708
30,0.05,4,linear,12,0.08562144476326028,0.0806240781690765,0.03737960223640708
31,0.05,4,locf,12,0.2699937208441154,0.2043785699951534,0.1717230694688241
31,0.05,4,nearest,12,0.15260807501979456,0.10830265033855284,0.007812539806845773
31,0.05,4,linear,12,0.08687094957498392,0.07366064825393666,0.007812539806845792
32,0.05,4,locf,12,0.09770268870914937,0.08634450285646013,-0.04439486806560659
32,0.05,4,nearest,12,0.09592134758682798,0.07443491633554154,-0.07013424262742661
32,0.05,4,linear,12,0.07446658912123118,0.07013424262742661,-0.07013424262742661
33,0.05,4,locf,12,0.49555167526882976,0.4237567495521953,0.11910804281810172
33,0.05,4,nearest,12,0.24739604537663254,0.2024717576072715,0.04147493758287178
33,0.05,4,linear,12,0.11892460769831079,0.11499702413166846,0.04147493758287179
34,0.05,4,locf,12,0.19308976287541108,0.15045987882176817,0.15045987882176817
34,0.05,4,nearest,12,0.16119428479023812,0.12311267460818581,-0.0725882713908355
34,0.05,4,linear,12,0.08257676131296328,0.07258827139083548,-0.07258827139083548
35,0.05,4,locf,12,0.36630907274951485,0.2607816868223311,0.21187441624804584
35,0.05,4,nearest,12,0.20270213036808557,0.16961788586114215,0.0394865454487941
35,0.05,4,linear,12,0.10733249460240576,0.09352303642886849,0.0394865454487941
36,0.05,4,locf,12,0.3722658353606951,0.31245761968187175,-0.22269486839488342
36,0.05,4,nearest,12,0.24258316331971222,0.20329182158015924,-0.05486771303276531
36,0.05,4,linear,12,0.09383235259253811,0.08587013445571932,-0.054867713032765296
37,0.05,4,locf,12,0.33845668385832167,0.25078338935291783,0.08839999119684767
37,0.05,4,nearest,12,0.21223081722055606,0.17180492041614204,0.047372155206438595
37,0.05,4,linear,12,0.07502362020617027,0.05286528378157621,0.047372155206438595
38,0.05,4,locf,12,0.45997785273792474,0.3621189343900815,0.02806864873753981
38,0.05,4,nearest,12,0.2532233919640218,0.2207815799995524,-0.003453634609275035
38,0.05,4,linear,12,0.08966649051504817,0.07799302555491587,-0.0034536346092750255
39,0.05,4,locf,12,0.4421337662968063,0.31524559706678285,-0.13574371702359625
39,0.05,4,nearest,12,0.2329235659035677,0.16625884494532384,0.021716898298406867
39,0.05,4,linear,12,0.0587373109968727,0.053541387054583535,0.021716898298406853
40,0.05,4,locf,12,0.19581214615573386,0.16649003542322174,-0.03884571342077114
40,0.05,4,nearest,12,0.12954569835172253,0.10712566590983895,0.06334469219580553
40,0.05,4,linear,12,0.07288680787575429,0.06334469219580556,0.06334469219580556
41,0.05,4,locf,12,0.29629530283066796,0.19253321198562054,0.10907928454863554
41,0.05,4,nearest,12,0.20079025578686438,0.1571263505095292,-0.07246865968131545
41,0.05,4,linear,12,0.10264128219974378,0.07246865968131548,-0.07246865968131548
42,0.05,4,locf,12,0.40278654339218606,0.27178097391075334,0.16624273841784545
42,0.05,4,nearest,12,0.25724730691568387,0.20608944724843145,0.11495414472430315
42,0.05,4,linear,12,0.12196449949774703,0.11495414472430314,0.11495414472430314
43,0.05,4,locf,12,0.26660722046075697,0.2334287596013708,0.009411293087977871
43,0.05,4,nearest,12,0.2050736622303711,0.1642278687701399,-0.11149570785960455
43,0.05,4,linear,12,0.12090222290811653,0.11149570785960454,-0.11149570785960454
44,0.05,4,locf,12,0.38920969756522605,0.3295478315401341,-0.16128310331633555
44,0.05,4,nearest,12,0.23444112472782389,0.17607418007672102,0.02040456834713941
44,0.05,4,linear,12,0.13144910002098195,0.12402111750588139,0.020404568347139395
45,0.05,4,locf,12,0.21180035263253016,0.17376068978972503,-0.02550843279081237
45,0.05,4,nearest,12,0.16866927991998457,0.13252784539729212,0.0712324766774305
45,0.05,4,linear,12,0.10148402121711408,0.07649915129262588,0.07123247667743048
46,0.05,4,locf,12,0.3620382235535166,0.26545759538594355,-0.2346654692295831
46,0.05,4,nearest,12,0.2068780733992075,0.17004150691188222,-0.08177929646855037
46,0.05,4,linear,12,0.09961062827798481,0.08876099147549656,-0.08177929646855038
47,0.05,4,locf,12,0.07197586393794633,0.062475032580825006,0.062475032580825006
47,0.05,4,nearest,12,0.07141510836691113,0.06052754181881435,0.04694058234980142
47,0.05,4,linear,12,0.06975326843744505,0.0551281658712407,0.046940582349801425
48,0.05,4,locf,12,0.36018250220413944,0.28980281364178484,-0.07753340508884794
48,0.05,4,nearest,12,0.20030894344962186,0.16207328352219838,0.022946041794333738
48,0.05,4,linear,12,0.08635217572418076,0.07926434397821804,0.022946041794333728
1,0.05,8,locf,24,0.41047166111718747,0.3557217772999726,0.01105544555624261
1,0.05,8,nearest,24,0.3099532539349246,0.2627203404370724,-0.05504146172293739
1,0.05,8,linear,24,0.30243590441479395,0.2627203404370724,-0.05504146172293738
2,0.05,8,locf,24,0.6166663772953402,0.4867396588138951,0.052148370574297255
2,0.05,8,nearest,24,0.3321096877620606,0.2596412640242839,0.16728545820185944
2,0.05,8,linear,24,0.19649682248249006,0.17521413626614613,0.16728545820185944
3,0.05,8,locf,24,0.288347598898712,0.23120834934544496,0.02299570584853498
3,0.05,8,nearest,24,0.38392487256161706,0.305940793254065,0.10699812853743289
3,0.05,8,linear,24,0.3340530928077647,0.30370242696247546,0.10699812853743289
4,0.05,8,locf,24,0.5362482617580563,0.32544737833858167,0.21087774369836862
4,0.05,8,nearest,24,0.3323864431031345,0.2507301971324179,0.10034071223302883
4,0.05,8,linear,24,0.1836094192383234,0.1393218639660525,0.10034071223302886
5,0.05,8,locf,24,0.9618778392845292,0.8281810204503991,0.1931549451561907
5,0.05,8,nearest,24,0.4856744355969182,0.39622406084076595,0.1424395988386506
5,0.05,8,linear,24,0.18331647538689222,0.14860522403212226,0.14243959883865062
6,0.05,8,locf,24,0.4286928809045619,0.34337145048651685,-0.25056530508878094
6,0.05,8,nearest,24,0.40430942199472664,0.3339440894528954,0.07385288671602765
6,0.05,8,linear,24,0.34950643986618823,0.32787475836287605,0.07385288671602769
7,0.05,8,locf,24,0.47069830906630705,0.3568702839317659,0.33031056120125635
